,year,metro,id,sex,age,number,education,marriage,asset,debt,income,income_d,industry,job,house,education_year
7330,2020,G1,411000302,1,68,2,2,2,29690,0,4745,4504,N,9,1,6
7331,2020,G1,411000332,1,57,2,4,2,43400,8000,5511,4752,L,1,1,12
7332,2020,G1,411000342,1,37,3,5,2,15070,1550,7767,6785,M,2,3,14
7333,2020,G1,411000362,1,60,1,6,1,9958,0,1382,1224,Q,1,3,16
7334,2020,G1,411000372,1,28,4,6,2,14850,8000,4110,3672,M,3,2,16
7335,2020,G1,411000382,1,47,3,5,2,61123,4436,4741,4181,N,7,1,14
7336,2020,G1,411000392,1,38,3,6,2,32490,0,8657,6695,C,3,2,16
7337,2020,G1,411600101,2,41,1,5,1,5134,540,1616,1556,P,2,3,14
7338,2020,G1,411600111,1,41,3,6,2,135240,10000,20735,16794,K,3,1,16
7339,2020,G1,411600121,1,53,3,6,2,9710,5050,6027,5279,J,2,3,16
7340,2020,G1,411600131,2,44,1,6,1,17100,5540,11750,8755,R,4,2,16
7341,2020,G1,411600151,2,81,1,2,3,2600,0,1515,1514,,,2,6
7342,2020,G1,411600171,2,66,3,3,3,74680,1080,2212,1968,Q,4,1,9
7343,2020,G2,411600201,2,75,1,1,3,3700,0,2477,2339,N,9,1,0
7344,2020,G2,411600211,1,63,2,4,2,50210,5400,5239,4744,H,8,1,12
7345,2020,G2,411600221,1,55,2,6,2,117838,12000,11564,8837,J,2,1,16
7346,2020,G2,411600231,1,56,2,4,3,13809,0,5650,5256,F,9,1,12
7347,2020,G2,411600241,2,53,2,4,4,12020,50,3563,3242,,,1,12
7348,2020,G2,411600251,1,71,2,4,2,31980,500,2077,2006,,,1,12
7349,2020,G2,411600261,1,43,3,5,2,30344,13040,4429,3507,N,9,1,14
7350,2020,G2,411600281,1,41,5,6,2,21908,21227,3633,1603,G,5,1,16
7351,2020,G2,411600291,1,51,3,7,2,97021,29150,8196,5667,O,4,2,18
7352,2020,G1,411600331,1,47,4,4,2,126382,12750,6132,4927,F,2,1,12
7353,2020,G1,411600341,1,72,2,7,2,185080,67000,4171,2909,,,1,18
7354,2020,G1,411600361,1,37,3,4,2,43045,20000,6774,6189,F,7,2,12
7355,2020,G1,411600371,1,61,3,3,2,31825,4895,4379,3777,P,8,1,9
7356,2020,G1,411700101,1,54,3,2,2,53737,5700,8152,5856,C,8,1,6
7357,2020,G1,411700121,1,61,2,4,2,68722,12000,2639,2308,H,8,1,12
7358,2020,G1,411700141,1,48,3,6,2,92683,0,19768,15672,C,3,1,16
7359,2020,G1,411700151,1,48,4,4,2,220760,13272,12708,10156,G,3,1,12
7360,2020,G1,411700181,1,45,4,6,2,220262,140800,7449,5761,C,2,1,16
7361,2020,G2,411700201,1,44,5,6,2,22853,17900,3239,2325,N,9,1,16
7362,2020,G2,411700221,2,55,3,4,2,27981,9812,7637,6125,C,9,1,12
7363,2020,G2,411700231,1,77,4,3,2,42160,20000,4162,3359,,,1,9
7364,2020,G2,411700241,1,62,1,2,4,14200,0,1034,931,,,2,6
7365,2020,G2,411700251,2,37,1,6,1,2710,570,2160,1611,G,3,5,16
7366,2020,G2,411700291,1,58,3,4,2,17540,7250,3305,2686,H,8,1,12
